Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,id
30,Jesse Edwards,Mar 2 '25 MIN @ PHO,24,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,2.5,0.0,0.0,0.5,0.0,0.0,edwarje01
31,Justin Edwards,Nov 24 '24 PHI vs. LAC,21,1,44,1155,172,378,69,190,32,46,46,148,69,45,16,49,98,445,.455,.363,.696,26.3,10.1,3.4,1.6,1.0,0.4,edwarju01
32,Tyson Etienne,Mar 28 '25 BRK vs. LAC,25,1,7,151,17,52,13,44,8,10,3,9,12,3,1,8,17,55,.327,.295,.800,21.6,7.9,1.3,1.7,0.4,0.1,etienty01
33,Kyle Filipowski,Oct 25 '24 UTA vs. GSW,21,1,72,1522,260,518,77,220,93,143,112,440,140,48,22,102,171,690,.502,.350,.650,21.1,9.6,6.1,1.9,0.7,0.3,filipky01
34,Trentyn Flowers,Dec 4 '24 LAC vs. MIN,19,1,6,27,4,11,0,2,3,3,1,4,0,0,0,1,4,11,.364,.000,1.000,4.5,1.8,0.7,0.0,0.0,0.0,flowetr01
35,Enrique Freeman,Oct 23 '24 IND @ DET,24,1,22,181,16,37,1,10,13,19,11,30,9,3,3,6,21,46,.432,.100,.684,8.2,2.1,1.4,0.4,0.1,0.1,freemen01
36,Johnny Furphy,Oct 25 '24 IND @ NYK,20,1,50,379,35,92,15,50,18,22,23,71,19,18,11,12,41,103,.380,.300,.818,7.6,2.1,1.4,0.4,0.4,0.2,furphjo01
37,Kyshawn George,Oct 24 '24 WAS vs. BOS,21,1,68,1802,203,546,114,354,70,93,49,285,169,68,50,97,201,590,.372,.322,.753,26.5,8.7,4.2,2.5,1.0,0.7,georgky01
38,Jazian Gortman,Oct 26 '24 DAL @ PHO,21,1,16,57,9,23,4,11,2,4,1,5,6,2,1,5,9,24,.391,.364,.500,3.6,1.5,0.3,0.4,0.1,0.1,gortmja01
39,PJ Hall,Nov 17 '24 DEN @ MEM,22,1,19,66,14,24,2,8,3,4,6,22,4,0,4,2,11,33,.583,.250,.750,3.5,1.7,1.2,0.2,0.0,0.2,hallpj01
40,Elijah Harkless,Jan 11 '25 UTA @ PHO,24,1,10,138,11,35,7,25,3,6,9,21,8,10,1,3,18,32,.314,.280,.500,13.8,3.2,2.1,0.8,1.0,0.1,harklej01
41,Ron Holland,Oct 23 '24 DET vs. IND,19,1,81,1266,197,416,36,151,92,122,40,218,82,49,17,72,141,522,.474,.238,.754,15.6,6.4,2.7,1.0,0.6,0.2,hollaro01
42,Ariel Hukporti,Oct 22 '24 NYK @ BOS,22,1,25,217,21,31,0,0,6,13,14,51,11,1,15,21,32,48,.677,,.462,8.7,1.9,2.0,0.4,0.0,0.6,hukpoar01
43,Oso Ighodaro,Oct 23 '24 PHO @ LAC,22,1,61,1045,113,187,0,2,29,50,66,222,71,28,29,39,102,255,.604,.000,.580,17.1,4.2,3.6,1.2,0.5,0.5,ighodos01
44,Harrison Ingram,Nov 6 '24 SAS @ HOU,22,1,5,35,2,4,0,1,0,0,2,9,3,3,0,1,2,4,.500,.000,,7.0,0.8,1.8,0.6,0.6,0.0,ingraha01
45,Bronny James,Oct 22 '24 LAL vs. MIN,20,1,27,181,21,67,9,32,11,14,4,18,22,9,3,13,13,62,.313,.281,.786,6.7,2.3,0.7,0.8,0.3,0.1,jamesbr02
46,Daniss Jenkins,Oct 25 '24 DET @ CLE,23,1,7,23,3,10,1,7,0,2,0,2,3,0,0,1,2,7,.300,.143,.000,3.3,1.0,0.3,0.4,0.0,0.0,jenkida01
47,AJ Johnson,Oct 23 '24 MIL @ PHI,20,1,29,639,82,213,24,90,32,37,8,59,76,12,3,35,50,220,.385,.267,.865,22.0,7.6,2.0,2.6,0.4,0.1,johnsaj01
48,Keshad Johnson,Dec 2 '24 MIA @ BOS,23,1,16,98,18,26,3,7,4,9,6,28,4,5,4,4,11,43,.692,.429,.444,6.1,2.7,1.8,0.3,0.3,0.3,johnske10
49,Dillon Jones,Oct 24 '24 OKC @ DEN,23,1,54,552,51,133,16,63,17,28,30,121,58,16,4,28,54,135,.383,.254,.607,10.2,2.5,2.2,1.1,0.3,0.1,jonesdi01
50,Isaac Jones,Oct 28 '24 SAC vs. POR,24,1,40,304,54,83,3,8,23,36,22,57,12,5,10,16,30,134,.651,.375,.639,7.6,3.4,1.4,0.3,0.1,0.3,jonesis01
51,Spencer Jones,Nov 2 '24 DEN vs. UTA,23,1,20,125,11,34,1,17,3,3,8,17,5,5,5,5,17,26,.324,.059,1.000,6.3,1.3,0.9,0.3,0.3,0.3,jonessp01
52,Yuki Kawamura,Oct 25 '24 MEM @ HOU,23,1,22,93,11,30,7,23,7,9,0,12,19,2,0,5,8,36,.367,.304,.778,4.2,1.6,0.5,0.9,0.1,0.0,kawamyu01
53,Kylor Kelley,Jan 27 '25 DAL vs. WAS,27,1,11,126,14,22,0,0,6,10,12,39,5,1,3,4,15,34,.636,,.600,11.5,3.1,3.5,0.5,0.1,0.3,kelleky01
54,Bobi Klintman,Jan 8 '25 DET @ BRK,21,1,8,42,6,10,2,5,1,2,1,7,7,2,1,1,8,15,.600,.400,.500,5.3,1.9,0.9,0.9,0.3,0.1,klintbo01
55,Dalton Knecht,Oct 22 '24 LAL vs. MIN,23,1,78,1494,257,557,128,340,64,84,37,216,66,24,8,37,93,706,.461,.376,.762,19.2,9.1,2.8,0.8,0.3,0.1,knechda01
56,Tyler Kolek,Oct 22 '24 NYK @ BOS,23,1,41,296,27,82,14,47,13,17,8,27,70,12,4,18,26,81,.329,.298,.765,7.2,2.0,0.7,1.7,0.3,0.1,kolekty01
57,Pelle Larsson,Oct 23 '24 MIA vs. ORL,23,1,55,782,89,203,32,95,41,61,28,92,65,32,7,24,91,251,.438,.337,.672,14.2,4.6,1.7,1.2,0.6,0.1,larsspe01
58,Malevy Leons,Nov 1 '24 OKC @ POR,25,1,6,21,0,2,0,1,2,4,1,3,1,0,0,1,4,2,.000,.000,.500,3.5,0.3,0.5,0.2,0.0,0.0,leonsma01
59,Jaylen Martin,Oct 27 '24 BRK vs. MIL,21,1,16,239,31,74,7,23,9,10,11,44,17,9,0,12,14,78,.419,.304,.900,14.9,4.9,2.8,1.1,0.6,0.0,martija02
60,Karlo Matković,Oct 23 '24 NOP vs. CHI,23,1,42,791,135,235,21,66,34,44,64,209,46,22,41,43,106,325,.574,.318,.773,18.8,7.7,5.0,1.1,0.5,1.0,matkoka01
61,Jared McCain,Oct 23 '24 PHI vs. MIL,20,1,23,592,126,274,51,133,49,56,13,56,60,15,0,37,37,352,.460,.383,.875,25.7,15.3,2.4,2.6,0.7,0.0,mccaija01
62,Kevin McCullar Jr.,Mar 25 '25 NYK vs. DAL,23,1,4,29,2,7,0,1,2,2,0,8,2,1,1,0,6,6,.286,.000,1.000,7.3,1.5,2.0,0.5,0.3,0.3,mcculke01
63,Jack McVeigh,Nov 6 '24 HOU vs. SAS,28,1,9,43,5,17,4,13,0,0,2,5,1,0,2,2,3,14,.294,.308,,4.8,1.6,0.6,0.1,0.0,0.2,mcveija01
64,Emanuel Miller,Mar 4 '25 CHI vs. CLE,24,1,6,25,4,8,0,1,2,2,4,8,2,1,0,0,3,10,.500,.000,1.000,4.2,1.7,1.3,0.3,0.2,0.0,milleem01
65,Riley Minix,Nov 6 '24 SAS @ HOU,24,1,1,7,0,1,0,1,0,0,0,2,0,0,0,0,0,0,.000,.000,,7.0,0.0,2.0,0.0,0.0,0.0,minixri01
66,Yves Missi,Oct 23 '24 NOP vs. CHI,20,1,73,1956,269,492,0,1,127,204,255,601,99,37,98,82,145,665,.547,.000,.623,26.8,9.1,8.2,1.4,0.5,1.3,missiyv01
67,Ajay Mitchell,Oct 24 '24 OKC @ DEN,22,1,36,597,91,184,23,60,29,35,18,68,64,25,4,29,68,234,.495,.383,.829,16.6,6.5,1.9,1.8,0.7,0.1,mitchaj01
68,Jonathan Mogbo,Oct 23 '24 TOR vs. CLE,23,1,63,1286,156,356,17,70,60,82,109,311,146,55,34,70,136,389,.438,.243,.732,20.4,6.2,4.9,2.3,0.9,0.5,mogbojo01
69,Tristen Newton,Nov 18 '24 IND @ TOR,23,1,8,16,1,8,0,3,1,1,2,4,2,1,0,2,4,3,.125,.000,1.000,2.0,0.4,0.5,0.3,0.1,0.0,newtotr01
70,Miles Norris,Mar 6 '25 BOS vs. PHI,24,1,3,35,2,9,2,7,1,2,2,9,0,2,1,0,0,7,.222,.286,.500,11.7,2.3,3.0,0.0,0.7,0.3,norrimi01
71,Quincy Olivari,Dec 8 '24 LAL vs. POR,23,1,2,10,1,5,1,5,0,0,0,0,1,0,0,1,0,3,.200,.200,,5.0,1.5,0.0,0.5,0.0,0.0,olivaqu01
72,Daeqwon Plowden,Jan 15 '25 ATL @ CHI,26,1,6,72,16,25,9,17,2,2,4,11,2,0,0,4,10,43,.640,.529,1.000,12.0,7.2,1.8,0.3,0.0,0.0,plowdda01
