Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,id
Jonathan Mogbo,Oct 23 '24 TOR vs. CLE,23,1,63,1286,156,356,17,70,60,82,109,311,146,55,34,70,136,389,0.438,0.243,0.732,mogbojo01
Tristen Newton,Nov 18 '24 IND @ TOR,23,1,8,16,1,8,0,3,1,1,2,4,2,1,0,2,4,3,0.125,0.0,1.0,newtotr01
Miles Norris,Mar 6 '25 BOS vs. PHI,24,1,3,35,2,9,2,7,1,2,2,9,0,2,1,0,0,7,0.222,0.286,0.5,norrimi01
Quincy Olivari,Dec 8 '24 LAL vs. POR,23,1,2,10,1,5,1,5,0,0,0,0,1,0,0,1,0,3,0.2,0.2,,olivaqu01
Daeqwon Plowden,Jan 15 '25 ATL @ CHI,26,1,6,72,16,25,9,17,2,2,4,11,2,0,0,4,10,43,0.64,0.529,1.0,plowdda01
Quinten Post,Dec 27 '24 GSW @ LAC,24,1,42,686,123,274,73,179,21,27,35,148,56,16,18,33,83,340,0.449,0.408,0.778,postqu01
Zyon Pullin,Feb 3 '25 MEM vs. SAS,23,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,pullizy01
Alex Reese,Oct 27 '24 OKC vs. ATL,25,1,15,216,26,54,15,41,9,12,9,47,4,10,10,6,21,76,0.481,0.366,0.75,reeseal01
Antonio Reeves,Oct 23 '24 NOP vs. CHI,24,1,44,660,113,248,51,129,28,35,18,63,39,21,4,30,40,305,0.456,0.395,0.8,reevean01
Zaccharie Risacher,Oct 23 '24 ATL vs. BRK,19,1,75,1843,357,779,122,344,106,149,86,268,92,52,37,92,149,942,0.458,0.355,0.711,risacza01
Liam Robbins,Oct 31 '24 MIL @ MEM,25,1,13,57,2,8,0,2,5,10,7,12,2,2,2,6,9,9,0.25,0.0,0.5,robbili01
Jackson Rowe,Feb 5 '25 GSW @ UTA,28,1,6,52,8,17,3,10,3,6,3,11,4,4,0,1,4,22,0.471,0.3,0.5,roweja01
Tidjane Salaün,Oct 26 '24 CHO vs. MIA,19,1,60,1244,114,345,58,205,67,94,70,280,74,29,14,58,84,353,0.33,0.283,0.713,salauti01
Alex Sarr,Oct 24 '24 WAS vs. BOS,19,1,67,1814,326,828,105,341,112,165,124,435,161,44,101,114,146,869,0.394,0.308,0.679,sarral01
Baylor Scheierman,Oct 24 '24 BOS @ WAS,24,1,31,384,39,110,26,82,9,12,19,65,33,17,2,12,22,113,0.355,0.317,0.75,scheiba01
Terrence Shannon Jr.,Nov 2 '24 MIN @ SAS,24,1,32,339,55,114,11,31,17,21,10,47,32,7,5,15,27,138,0.482,0.355,0.81,shannte01
Jamal Shead,Oct 23 '24 TOR vs. CLE,22,1,75,1467,204,504,72,223,53,69,30,115,316,58,10,117,158,533,0.405,0.323,0.768,sheadja01
Reed Sheppard,Oct 23 '24 HOU vs. CHO,20,1,52,654,84,239,48,142,13,16,16,78,75,35,17,37,53,229,0.351,0.338,0.813,sheppre01
KJ Simpson,Nov 4 '24 CHO @ MIN,22,1,36,842,104,301,33,130,41,50,39,109,112,34,6,56,56,282,0.346,0.254,0.82,simpskj01
Jaylen Sims,Apr 4 '25 CHO vs. SAC,26,1,6,112,12,28,6,15,12,15,3,6,12,3,1,8,10,42,0.429,0.4,0.8,simsja01
Tolu Smith,Apr 13 '25 DET @ MIL,24,1,1,22,6,9,0,0,2,3,4,8,0,0,0,2,3,14,0.667,,0.667,smithto05
Tyler Smith,Oct 23 '24 MIL @ PHI,20,1,23,122,24,50,13,30,6,8,6,25,4,3,4,8,11,67,0.48,0.433,0.75,smithty02
Cam Spencer,Nov 20 '24 MEM vs. PHI,24,1,25,252,34,82,19,52,19,19,12,30,34,9,1,6,23,106,0.415,0.365,1.0,spencca01
Isaiah Stevens,Mar 29 '25 MIA @ PHI,24,1,3,6,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0.0,0.0,,steveis01
Drew Timme,Mar 28 '25 BRK vs. LAC,24,1,9,254,45,102,9,35,10,16,17,65,20,4,1,15,21,109,0.441,0.257,0.625,timmedr01
